exp,wire_radius_m,frames,variant,layout,fence,wire_px_p50,iters,sfm_points,wire_span_pts_3cm,thin_px_share_pct,psnr_all,psnr_wire,psnr_bg,gap_db,psnr_wire_min,align_rmse_m,samples
20260704_wb_r08mm_f80_open,0.008,80,open,base,periodic,,7000,25655,0,1.729,30.85,24.99,31.79,6.8,22.39,0.0037,64
20260704_wb_r08mm_f80_enclosed,0.008,80,enclosed,base,periodic,,7000,46475,0,1.729,35.38,26.01,36.55,10.54,24.1,0.0011,64
20260704_wb_r15mm_f80_open,0.015,80,open,base,periodic,,7000,25995,4,2.046,31.5,23.46,32.42,8.96,17.56,0.0048,64
20260704_wb_r15mm_f80_enclosed,0.015,80,enclosed,base,periodic,,7000,46454,3,2.046,35.24,25.94,36.5,10.56,24.6,0.0012,64
20260704_wb_r30mm_f80_open,0.03,80,open,base,periodic,,7000,25854,2,2.716,31.08,22.62,32.67,10.05,14.59,0.0043,64
20260704_wb_r30mm_f80_enclosed,0.03,80,enclosed,base,periodic,,7000,46607,0,2.716,34.84,25.15,36.46,11.31,22.27,0.0013,64
20260704_wb_r60mm_f80_open,0.06,80,open,base,periodic,,7000,25991,10,4.013,30.68,21.98,32.72,10.74,14.47,0.0045,64
20260704_wb_r60mm_f80_enclosed,0.06,80,enclosed,base,periodic,,7000,46605,4,4.013,34.88,26.24,36.56,10.33,23.61,0.0032,64
20260705_wb_r15mm_f40_open,0.015,40,open,base,periodic,,7000,7177,0,1.92,20.2,17.75,20.33,2.58,12.19,0.0095,64
20260705_wb_r15mm_f20_open,0.015,20,open,base,periodic,,7000,1201,2,1.937,16.45,13.84,16.51,2.67,10.74,3.827,64
20260705_wb_r15mm_f40_enclosed,0.015,40,enclosed,base,periodic,,7000,16864,0,1.92,31.25,24.65,31.92,7.27,22.21,0.0021,64
20260705_wb_r15mm_f20_enclosed,0.015,20,enclosed,base,periodic,,7000,3812,0,1.937,22.3,19.13,22.52,3.39,17.12,0.0047,64
20260726_wb_r15mm_f80_open_Lcrossing,0.015,80,open,crossing,periodic,2.83,7000,26060,8,2.386,32.24,24.52,33.67,9.14,22.44,0.0044,64
20260726_wb_r15mm_f40_open_Lcrossing_OLDSFM_INVALID,0.015,40,open,crossing,periodic,2.83,7000,6829,0,2.366,23.46,20.59,23.69,3.1,12.89,2.7112,64
20260726_wb_r15mm_f80_open_Lstreet,0.015,80,open,street,periodic,3.03,7000,29205,0,2.046,34.47,25.76,35.73,9.97,21.31,0.0028,64
20260726_wb_r15mm_f40_open_Lstreet,0.015,40,open,street,periodic,3.03,7000,8261,0,1.92,30.65,25.86,31.08,5.21,21.53,0.0048,64
20260726_wb_r15mm_f40_open_Lcrossing,0.015,40,open,crossing,periodic,2.83,7000,6959,1,2.366,22.87,19.48,23.19,3.72,13.63,3.2289,64
